HGNC Symbol	Number of Databases Confirmed
492	CORIN	3
493	SFRP2	4
494	ADAMTS16	4
495	GZMA	3
496	HAPLN1	4
497	CRHBP	3
498	ADAMTS19	4
499	LECT2	3
500	IL9	3
501	SPINK7	3
502	PCYOX1L	3
503	FGF18	3
504	PLA2G7	5
505	SCUBE3	4
506	VWDE	3
507	EGFR	4
508	IGFBP1	4
509	GNRH1	4
510	CRH	4
511	RSPO2	4
512	IFNA1	4
513	IFNK	3
514	LCN2	4
515	PAEP	3
516	LCN9	4
517	HABP2	4
518	ADM	3
519	SAA4	3
520	SCGB1A1	3
521	SERPING1	4
522	ENDOD1	3
523	ZP1	3
524	OOSP2	3
525	SPINT4	3
526	GPHA2	3
527	FERMT3	3
528	MMP10	3
529	CTF1	3
530	IL18	3
531	CRIM1	3
532	PRSS53	3
533	GLT1D1	3
534	TNFSF4	3
535	CFC1B	3
536	PTH	4
537	SPOCK1	5
538	FLT1	3
539	IGSF10	3
540	SPARCL1	3
541	DSPP	4
542	BMP3	3
543	ADAMTS18	4
544	CPB1	4
545	BMP6	3
546	PLA2R1	4
547	SPACA7	4
548	CD8A	4
549	TMPRSS11D	3
550	SEMA3D	3
551	ABI3BP	3
552	WNT3A	3
553	LY96	4
554	CXADR	5
555	APP	3
556	ADAMTS1	4
557	ADAMTS5	4
558	WNT7A	3
559	DKK2	3
560	PDIA4	3
561	WIF1	3
562	MMP16	4
563	ADAMTS3	4
564	ADAMTSL3	5
565	CXCL13	3
566	GDF6	4
567	NODAL	4
568	SST	4
569	LYZL4	3
570	TIMP4	3
571	CLEC18A	3
572	IL34	3
573	IL17RB	3
574	NBL1	4
575	WFDC8	4
576	WNT9B	3
577	CELA3A	3
578	WNT4	4
579	STC1	3
580	PGLYRP3	3
581	ACE	5
582	TEPP	3
583	SPON2	4
584	AGRP	3
585	PIP	3
586	HAPLN4	3
587	CILP2	4
588	TFF2	3
589	TFF1	3
590	S100B	3
591	FCN2	4
592	PSG6	3
593	GPC2	3
594	AZGP1	3
595	FGFR4	4
596	SCGB3A1	3
597	DCD	3
598	WNT1	4
599	CELA1	3
600	CXCL16	4
601	PRSS33	4
602	PTX4	3
603	NTN3	3
604	FGF19	3
605	DRAXIN	4
606	VCAM1	3
607	OLFML2B	3
608	FCGR3B	3
609	PKDCC	3
610	FRZB	4
611	INHBB	4
612	C1QTNF7	5
613	BMP10	3
614	TGFA	4
615	NPPC	3
616	ALPI	3
617	COL6A3	4
618	FAM19A4	3
619	PROK2	4
620	FSTL1	4
621	RNPEP	3
622	IGFBP7	3
623	IHH	4
624	RETNLB	4
625	GLB1L	4
626	SERPINI1	3
627	ALB	3
628	PSMD6	3
629	PTX3	3
630	CXCL3	4
631	CXCL5	4
632	PPBP	4
633	PF4	3
634	UCN	4
635	CDCP1	3
636	CLEC3B	3
637	TDGF1	3
638	LIPH	4
639	MASP1	4
640	MELTF	3
641	P3H1	4
642	EMCN	3
643	PLXNB1	3
644	PRSS12	4
645	HMGB2	3
646	SCRG1	3
647	IL15	3
648	HHIP	3
649	EDIL3	4
650	SCGB3A2	3
651	SPINK1	4
652	CARTPT	4
653	IL3	3
654	CSF2	4
655	GDF9	4
656	LEAP2	3
657	IL22RA2	4
658	BMPER	4
659	RELL2	3
660	FNDC1	4
661	COL1A2	3
662	TNFRSF11B	3
663	SBSPON	4
664	DEFA4	3
665	DEFA6	4
666	DEFB1	4
667	CNTNAP3	4
668	PRSS37	3
669	CPA6	3
670	COL14A1	5
671	VEGFD	4
672	FOLR2	4
673	RNASE7	4
674	SERPINA4	3
675	C1QL3	4
676	LIPC	3
677	C14orf93	3
678	ADAMTS15	3
679	C2	4
680	SERPINB2	3
681	A2ML1	4
682	HSP90B1	3
683	MMP3	5
684	C18orf54	3
685	TAC3	4
686	SCG5	3
687	PDIA3	3
688	BPIFC	3
689	COL6A2	4
690	GPRC5B	3
691	MMP26	4
692	CA4	3
693	LALBA	4
694	WNT10B	3
695	LAIR2	4
696	CYB5D2	3
697	CGB1	3
698	CGB5	4
699	ANGPTL4	5
700	IGFBP6	3
701	SOST	3
702	LTBP3	3
703	PNOC	4
704	RNASE6	3
705	PRL	3
706	CCL11	4
707	C1QTNF4	3
708	LGI3	3
709	RNASE3	3
710	SMR3B	3
711	LRG1	5
712	NRTN	3
713	ABHD15	3
714	IGF1	3
715	MUC17	3
716	INSL5	3
717	GUSB	4
718	IL17D	3
719	IL16	3
720	WFDC13	3
721	SCGB1D1	3
722	COL22A1	5
723	REG1B	3
724	PCSK9	4
725	ACHE	5
726	SEMA3E	5
727	IL12A	3
728	TRH	4
729	DEFB4A	4
730	CYTL1	3
731	LRP8	3
732	HTRA3	5
733	MZB1	3
734	CTRB2	3
735	GTPBP2	3
736	SCG2	3
737	PCDHA10	4
738	CD14	5
739	REG3A	4
740	CCDC126	3
741	COL3A1	4
742	SPACA5B	3
743	CSN3	3
744	IL13	3
745	SOSTDC1	3
746	PSG8	4
747	FSTL5	4
748	TUB	3
749	CXCL10	3
750	BMP1	4
751	CST1	4
752	SPACA5	3
753	COL8A2	3
754	HTRA4	4
755	USH2A	3
756	FGB	4
757	PAM	4
758	IL7R	3
759	ANTXR2	3
760	FGA	4
761	PRSS27	4
762	BTD	3
763	CXCL8	4
764	VASN	3
765	CXCL11	3
766	PRND	3
767	GLB1	4
768	CST5	4
769	LAMB2	5
770	PATE1	4
771	TMPRSS11E	3
772	CST2	3
773	CANT1	3
774	ZPLD1	3
775	EGFL7	4
776	B3GAT1	4
777	C11orf45	3
778	RFNG	3
779	HPSE	4
780	PODN	3
781	F2	4
782	INHBC	3
783	PRSS1	3
784	CCL19	4
785	WNT5B	4
786	PLG	5
787	VWC2L	4
788	OLR1	4
789	KLK6	4
790	CLCF1	5
791	CD164	3
792	CSHL1	4
793	PGA5	3
794	LPL	4
795	EFEMP2	4
796	CD34	3
797	HSPA6	3
798	CTSF	3
799	CD200R1	4
800	JUP	3
801	VEGFB	3
802	WFIKKN2	3
803	CST6	4
804	LYG1	3
805	MUCL1	3
806	RNASE8	4
807	HEG1	4
808	FGF5	4
809	KLK10	4
810	LTBP4	3
811	PRG2	3
812	ADPGK	3
813	LGI4	3
814	PLA2G1B	4
815	DAG1	4
816	LEP	3
817	GH1	4
818	DEFB114	3
819	C2orf69	4
820	ADGRB1	3
821	NETO1	3
822	GFRA4	4
823	MMP19	5
824	LGALS7B	3
825	KLK2	3
826	AMBN	3
827	LCN15	3
828	C1QB	4
829	KLK3	4
830	CFHR1	5
831	IL1RAP	4
832	EDDM3B	3
833	ANGPT2	4
834	DKK3	5
835	EDDM3A	4
836	CLU	3
837	CREG2	3
838	TMEM25	5
839	METRNL	3
840	CD163L1	3
841	LILRB1	3
842	SPAG11A	4
843	AGGF1	3
844	SFTPC	3
845	CLEC4M	3
846	CD55	5
847	CSH1	4
848	P3H2	3
849	DNASE1L2	4
850	PIBF1	3
851	MET	3
852	PSAPL1	3
853	APOL1	3
854	RPTN	3
855	PROM2	3
856	FDCSP	3
857	NCAM1	3
858	GREM2	4
859	WFDC11	3
860	DEFB112	3
861	PSG11	4
862	CPN2	3
863	ICOS	3
864	PRSS8	3
865	C3orf58	3
866	ARSJ	3
867	WFDC9	4
868	ADIPOQ	4
869	DEFB104A	3
870	CALR	3
871	IL17RA	3
872	DEFB103A	3
873	TAC1	4
874	SPOCK2	4
875	LPA	3
876	INSL3	4
877	FGF8	4
878	SERPINF2	5
879	FIBIN	4
880	TSPEAR	3
881	C7	4
882	DEFB104B	4
883	PGA3	3
884	FAM20C	3
885	OTOS	4
886	MMP1	4
887	ACPP	3
888	DAND5	4
889	CD6	3
890	ITLN1	3
891	CRTAP	4
892	PLXDC1	3
893	A2M	4
894	CGREF1	4
895	PENK	3
896	LAMA3	4
897	DEFB103B	4
898	IL32	3
899	WFIKKN1	4
900	SPINK6	3
901	COL12A1	4
902	KARS	3
903	WNT11	3
904	FBN1	4
905	HSP90AB1	3
906	KLK4	3
907	RTBDN	3
908	DEFB124	3
909	CLEC18C	3
910	FKRP	3
911	OVCH1	4
912	THNSL2	3
913	BGN	3
914	IGIP	4
915	PRSS57	3
916	BMP8A	4
917	CSF1	3
918	LYG2	4
919	ACP7	3
920	DHRS7C	3
921	C6orf58	3
922	IL25	3
923	C1S	3
924	NOG	3
925	TNFRSF18	4
926	DEFA3	3
927	EFNA5	3
928	C1QTNF12	4
929	GKN2	3
930	NXPH3	3
931	IGLL1	4
932	SERPINA7	3
933	IL22	3
934	DEFA5	4
935	IFNL1	3
936	NPW	3
937	RESP18	3
938	EPGN	3
939	PDGFB	5
940	LEPR	4
941	IST1	3
942	C1QTNF8	3
943	AMY1B	4
944	CTHRC1	3
945	HHIPL1	3
946	RTN4RL1	3
947	PAPPA	4
948	OTOL1	4
949	OPCML	3
950	IL1R2	3
951	VSTM4	4
952	CD8B	4
953	BCAN	4
954	GAST	4
955	FBLN7	4
956	FBLN1	4
957	GDF3	3
958	CALCA	4
959	GAS6	3
960	COL4A5	4
961	CFD	4
962	PSG3	3
963	PMCH	3
964	COL7A1	3
965	OLFML1	3
966	RNLS	3
967	TSKU	4
968	COLEC10	4
969	NPB	3
970	EMILIN3	3
971	FLRT2	3
972	FREM3	4
973	GH2	4
974	SERPINA5	3
975	SNORC	3
976	DEFB108B	3
977	HSD17B13	4
978	RNASE10	3
979	ARSI	3
980	NXPH4	3
981	IFNL2	3
982	C1QTNF9	3
983	CMTM4	3
984	HBB	3
985	EMC10	4
986	TAC4	3
987	DHRSX	4
988	FGF3	4
989	F3	5
990	VWCE	4
991	C5orf38	4
992	DEFB105A	3
993	DEFB106B	3
994	LRCH3	3
995	LYPD6	4
996	DEFB107A	3
997	DHRS4L2	4
998	SERPINA11	3
999	GHRL	4
1000	GLDN	3
1001	ENTPD5	3
1002	ANGPTL5	3
1003	DEFB105B	3
1004	C1QL4	3
1005	DEFB106A	3
1006	DEFB128	3
1007	ZPBP2	4
1008	EMID1	3
1009	DEFB131A	3
1010	PPFIA3	3
1011	C9orf47	4
1012	CCK	3
1013	ANG	3
1014	LUZP2	3
1015	FGG	4
1016	TMEM155	3
1017	CXCL14	4
1018	EDN3	4
1019	SERPINA9	4
1020	ENOX2	3
1021	NLRP3	3
1022	HYAL3	4
1023	IL17F	3
1024	EPHA3	3
1025	WFDC10B	4
1026	MAPK15	3
1027	KLK5	3
1028	MMP25	3
1029	APOL4	4
1030	CRISP1	3
1031	SNCA	3
1032	CELA3B	3
1033	FGF1	3
1034	THEM6	3
1035	IL6ST	4
1036	C1QTNF6	3
1037	FGFBP3	3
1038	CRISP2	3
1039	CPM	4
1040	COLEC11	4
1041	KRTDAP	3
1042	C2orf66	3
1043	LCN6	3
1044	THBS4	4
1045	TSLP	3
1046	FGFR3	4
1047	FLRT3	4
1048	CD59	5
1049	NYX	3
1050	SMPD1	3
1051	UTS2B	3
1052	ELSPBP1	3
1053	WNT8B	3
1054	GYG1	3
1055	C1QTNF1	3
1056	DMP1	3
1057	COL17A1	3
1058	TEX264	3
1059	SFN	3
1060	NTN4	4
1061	AMTN	3
1062	CSN2	4
1063	WNT7B	3
1064	CLEC18B	3
1065	CLUL1	4
1066	SIGLEC1	3
1067	PTN	4
1068	ISM2	4
1069	COL9A3	4
1070	BSPH1	3
1071	IL1F10	3
1072	VWC2	3
1073	CHIA	3
1074	CTSB	5
1075	SLPI	3
1076	SPINT1	3
1077	SERPINA12	3
1078	ICAM4	4
1079	HHIPL2	3
1080	C15orf61	4
1081	FAM180A	3
1082	OSTN	4
1083	TREML4	3
1084	SERPINA6	3
1085	IL19	4
1086	HMGB1	3
1087	LIPI	3
1088	VSTM1	5
1089	C17orf99	3
1090	TNFSF13	3
1091	TPSAB1	3
1092	PRELP	4
1093	IFNAR2	3
1094	METTL24	4
1095	IL17A	3
1096	RNASE1	4
1097	SUSD4	4
1098	LRRC17	3
1099	PSG5	4
1100	SCGB1C1	3
1101	APOL3	3
1102	GLB1L2	3
1103	ECM2	4
1104	S100A13	3
1105	QPCT	3
1106	IGFL3	3
1107	BPIFB6	3
1108	FBLN5	4
1109	PODNL1	3
1110	APOD	4
1111	SIGLEC10	3
1112	CTSL	3
1113	PAPLN	4
1114	ST3GAL2	4
1115	QRFP	3
1116	DLG1	3
1117	PGLYRP2	5
1118	LRFN2	3
1119	CALCB	3
1120	ANXA2	3
1121	BPIFA1	4
1122	ADAMTSL2	4
1123	PDGFA	5
1124	SMOC2	4
1125	HNRNPA2B1	3
1126	FN1	4
1127	C6orf120	3
1128	EGFLAM	4
1129	FMOD	3
1130	EFEMP1	3
1131	COL18A1	4
1132	FCAR	3
1133	DEFB107B	3
1134	PLGLB1	4
1135	FAS	4
1136	MXRA7	3
1137	SERPINA1	4
1138	HP	5
1139	LAMB3	4
1140	COL27A1	4
1141	PXDNL	3
1142	SEMA4D	3
1143	PIGR	3
1144	AADACL2	3
1145	SAA1	4
1146	RSPO1	4
1147	MEGF6	4
1148	RSPO3	4
1149	NRG1	3
1150	IL27	3
1151	ADAM15	3
1152	SPINK14	3
1153	GUCA2A	4
1154	NELL1	4
1155	SPOCK3	4
1156	GM2A	3
1157	RAET1E	3
1158	COL9A1	4
1159	GALP	3
1160	CGB3	3
1161	GIP	3
1162	NEGR1	3
1163	APOA4	4
1164	TLL2	4
1165	FAM3B	4
1166	HSD17B11	3
1167	ITIH2	4
1168	COL6A6	3
1169	PATE2	3
1170	ALKAL1	3
1171	SCGB1D4	3
1172	QSOX2	3
1173	FAM3D	3
1174	CCL20	4
1175	CNDP1	3
1176	PNLIPRP1	4
1177	COL20A1	4
1178	SFTA2	3
1179	CD163	3
1180	PLAC1	3
1181	CMTM5	3
1182	FGF17	3
1183	MFAP5	4
1184	PLGLB2	5
1185	HAPLN3	3
1186	CELA2A	3
1187	OSCAR	4
1188	PGLYRP4	5
1189	MDK	5
1190	ARPC5	3
1191	SPINK5	5
1192	FAM3A	3
1193	ART5	3
1194	SULF2	3
1195	FAM3C	3
1196	PYY	3
1197	TFRC	3
1198	SPN	3
1199	F8	4
1200	RAB5B	3
1201	HLA-G	3
1202	NRP2	5
1203	DSC3	3
1204	COL4A2	5
1205	DPP4	3
1206	MMP17	3
1207	SCUBE1	4
1208	AOC1	3
1209	ENPP1	3
1210	CPZ	4
1211	PRSS3	4
1212	CTRB1	3
1213	MEPE	4
1214	LAMC3	4
1215	CCL28	3
1216	C8A	3
1217	BRINP2	4
1218	GPX6	3
1219	GPX7	3
1220	WISP3	4
1221	CXCL9	4
1222	NRG2	4
1223	NOTCH2NL	3
1224	PCDH15	4
1225	SMOC1	4
1226	COL6A1	4
1227	CNTF	3
1228	SCCPDH	3
1229	ZP4	3
1230	AGT	4
1231	PRSS38	4
1232	THBS2	3
1233	LEFTY2	4
1234	TGFB2	4
1235	VASH2	3
1236	NENF	3
1237	C4BPA	3
1238	FCMR	3
1239	IL20	3
1240	KISS1	4
1241	OPTC	4
1242	CHIT1	4
1243	VIP	4
1244	ULBP2	4
1245	RAET1G	5
1246	CRB1	4
1247	F13B	4
1248	CFHR2	3
1249	CFHR4	4
1250	CFHR3	3
1251	CFH	5
1252	BRINP3	4
1253	MR1	3
1254	QSOX1	4
1255	PAPPA2	5
1256	SERPINC1	3
1257	FASLG	3
1258	F5	4
1259	DPT	5
1260	XCL1	4
1261	XCL2	3
1262	MOXD1	3
1263	FCGR3A	3
1264	CTGF	4
1265	APOA2	3
1266	ADAMTS4	3
1267	ITLN2	4
1268	COPA	3
1269	CD5L	3
1270	NAXE	4
1271	BGLAP	4
1272	THBS3	4
1273	SMPDL3A	4
1274	IL6R	4
1275	ADAM12	4
1276	S100A7	3
1277	S100A8	3
1278	S100A12	3
1279	S100A9	4
1280	MMP21	3
1281	TUFT1	4
1282	FAM24A	3
1283	FAM24B	3
1284	DMBT1	4
1285	C1orf56	4
1286	HTRA1	4
1287	CTSS	4
1288	ECM1	4
1289	C1orf54	4
1290	PNLIP	4
1291	PNLIPRP3	4
1292	TECTB	4
1293	CD2	3
1294	NGF	4
1295	CGA	3
1296	FAM19A3	4
1297	WNT2B	4
1298	PRSS35	3
1299	IMPG1	4
1300	TNFRSF6B	3
1301	FNDC7	3
1302	NTNG1	3
1303	AMY1C	3
1304	AMY1A	4
1305	COL11A1	4
1306	OLFM3	5
1307	EXTL2	3
1308	KAZALD1	3
1309	CPN1	4
1310	GBP1	3
1311	CREG1	5
1312	HPSE2	4
1313	CLCA2	4
1314	COL24A1	4
1315	CRTAC1	4
1316	CD40LG	3
1317	DNASE2B	3
1318	GPC4	5
1319	BMP5	4
1320	IGSF1	3
1321	GNAS	3
1322	XPNPEP2	3
1323	ANGPTL3	4
1324	DEFB110	3
1325	TACSTD2	3
1326	C8B	4
1327	ADGRF1	4
1328	CDCP2	4
1329	LGI1	3
1330	RBP4	4
1331	DPP7	4
1332	PTGDS	3
1333	LCN12	4
1334	LCN8	3
1335	OBP2A	4
1336	FCN1	3
1337	COL5A1	5
1338	SPATA6	4
1339	ADAMTS13	3
1340	PTEN	3
1341	MMRN2	4
1342	OBP2B	4
1343	CHRDL1	4
1344	VEGFA	3
1345	C10orf99	4
1346	NRG3	4
1347	COL4A6	4
1348	PLAC9	4
1349	CD40	4
1350	SFTPD	3
1351	SFTPA2	4
1352	MMP9	4
1353	PLTP	4
1354	CTSA	4
1355	SVBP	3
1356	YBX1	4
1357	GUCA2B	3
1358	EDN2	3
1359	WFDC10A	4
1360	WFDC6	3
1361	WFDC2	4
1362	SDC4	3
1363	SPTAN1	3
1364	COL9A2	5
1365	PLAU	4
1366	SEMG2	4
1367	SEMG1	4
1368	WFDC12	4
1369	WFDC5	4
1370	BMP8B	4
1371	SRPX2	4
1372	PGC	4
1373	PLA2G12B	5
1374	CSF3R	3
1375	TREM2	3
1376	ADAMTS14	4
1377	TOR2A	3
1378	ANGPTL2	4
1379	VSTM2L	3
1380	FNDC5	3
1381	OLFML2A	4
1382	COL16A1	4
1383	MATN1	4
1384	GSN	4
1385	CLPSL1	3
1386	MBL2	3
1387	DKK1	3
1388	TNFSF15	4
1389	GDF5	3
1390	EDA	4
1391	C1QC	4
1392	C1QA	4
1393	HSPG2	3
1394	ABCA1	3
1395	COL5A2	4
1396	ASIP	5
1397	COL15A1	4
1398	AGER	5
1399	VWA5B1	3
1400	PLA2G2F	3
1401	PLA2G2D	3
1402	PLA2G5	4
1403	PLA2G2A	3
1404	PLA2G2E	4
1405	LYZL2	3
1406	BTBD17	3
1407	BPIFA3	4
1408	BPIFB4	3
1409	BPIFB3	3
