HGNC Symbol	Number of Databases Confirmed
669	RHD	4
670	RHO	4
671	RND1	4
672	ROBO1	6
673	ROM1	5
674	ROR1	5
675	ROR2	6
676	ROS1	4
677	RPSA	4
678	RRH	4
679	RYR1	4
680	RYR2	4
681	SCARB2	4
682	SCN11A	4
683	SCN2B	6
684	SCN3A	5
685	SCN8A	5
686	SCNN1A	5
687	SCNN1D	5
688	SCNN1G	5
689	SDC1	5
690	SDC2	4
691	SDC4	6
692	SDCBP	5
693	SELE	4
694	SELL	5
695	SELP	5
696	SELPLG	5
697	SEMA4F	6
698	SGCB	6
699	SGCD	5
700	SGCE	6
701	SIGLEC6	5
702	SIGLEC7	4
703	SIGLEC9	4
704	SIRPA	4
705	SIRPB1	5
706	SLC11A1	4
707	SLC11A2	5
708	SLC12A2	6
709	SLC13A4	4
710	SLC15A2	4
711	SLC16A2	4
712	SLC16A3	4
713	SLC16A4	4
714	SLC16A5	4
715	SLC16A7	4
716	SLC17A1	4
717	SLC17A2	4
718	SLC17A3	4
719	SLC17A4	5
720	SLC17A5	5
721	SLC18A2	4
722	SLC1A1	5
723	SLC1A4	4
724	SLC1A5	5
725	SLC22A11	4
726	SLC22A14	4
727	SLC22A2	4
728	SLC22A3	4
729	SLC22A4	4
730	SLC22A7	5
731	SLC22A8	5
732	SLC23A2	5
733	SLC25A4	4
734	SLC25A5	4
735	SLC26A2	5
736	SLC2A2	4
737	SLC2A4	5
738	SLC2A5	6
739	SLC2A8	5
740	SLC30A3	4
741	SLC31A1	4
742	SLC31A2	4
743	SLC34A1	5
744	SLC35A1	4
745	SLC39A2	4
746	SLC40A1	4
747	SLC4A1	4
748	SLC4A3	4
749	SLC5A1	5
750	SLC5A3	6
751	SLC6A2	5
752	SLC6A20	5
753	SLC6A4	5
754	SLC6A7	4
755	SLC6A9	5
756	SLC7A1	5
757	SLC7A10	4
758	SLC7A2	6
759	SLC7A5	6
760	SLC7A6	6
761	SLC7A7	4
762	SLC7A8	5
763	SLC7A9	4
764	SLC9A3R2	4
765	SLCO1B3	6
766	SMPD2	5
767	SNAP23	4
768	SORBS1	6
769	SPN	5
770	SSPN	4
771	SSTR1	4
772	SSTR2	5
773	ST14	6
774	ST3GAL5	5
775	STAB1	6
776	STAB2	4
777	STIM1	6
778	STS	4
779	STX6	4
780	SVIL	5
781	SYK	5
782	SYPL1	6
783	TACR2	5
784	TACSTD2	5
785	TBXA2R	6
786	TDGF1	4
787	TEK	6
788	TFR2	5
789	TFRC	4
790	TGFA	5
791	TGFBR1	5
792	THBD	5
793	THY1	5
794	TIE1	4
795	TLR1	6
796	TLR2	6
797	TLR3	6
798	TLR4	7
799	TLR6	4
800	TM4SF1	4
801	TM7SF2	4
802	TMPRSS11D	4
803	TNFRSF10C	4
804	TNFRSF13B	4
805	TNFRSF14	5
806	TNFRSF1A	5
807	TNFRSF25	6
808	TNFRSF9	6
809	TNFSF4	4
810	TNFSF8	4
811	TOLLIP	4
812	TPBG	6
813	TPO	4
814	TRHR	4
815	TRIP6	4
816	TRO	4
817	TRPC1	5
818	TRPC6	6
819	TRPM2	5
820	TRPV1	6
821	TRPV2	8
822	TRPV5	5
823	TRPV6	4
824	TSHR	7
825	TSPAN31	4
826	TSPAN4	5
827	TSPAN7	4
828	TSPAN8	4
829	TULP3	5
830	TYRO3	5
831	TYROBP	4
832	UTRN	4
833	VAMP1	5
834	VAMP2	5
835	VAMP5	6
836	VCAM1	5
837	VIPR1	5
838	XCR1	4
839	XPR1	4
840	ZAP70	4
841	ZYX	4
842	PCDHA1	5
843	PCDHA2	4
844	PCDHA10	4
845	PCDHA11	5
846	ITGA3	6
847	CD74	4
848	TSPAN9	4
849	TTC17	4
850	RTN4R	4
851	P2RY10	4
852	RAB26	4
853	TGFBR3	4
854	MYH9	4
855	SLCO4A1	4
856	APMAP	4
857	PAG1	5
858	CD79A	5
859	ICAM5	4
860	UPK1A	4
861	CAV2	5
862	STX1A	4
863	ASIC2	4
864	TMEM97	4
865	CD38	4
866	PANX1	4
867	ASIC1	4
868	IYD	4
869	TMEM30A	4
870	CDH9	4
871	LNPEP	5
872	GRIN3B	4
873	ENO1	4
874	SLC8A2	4
875	ABCG2	4
876	RAMP3	5
877	CNTFR	4
878	ADGRE5	4
879	ATP7B	4
880	LYPD3	4
881	OR1E2	4
882	ACKR4	4
883	ATP1B2	4
884	PCDHGA12	5
885	PCDHGC5	4
886	NECTIN2	4
887	CALY	4
888	SLC6A8	4
889	RAMP2	4
890	ATP13A3	4
891	LYVE1	4
892	IL5RA	4
893	CHL1	4
894	SORT1	5
895	APLNR	5
896	ANXA1	5
897	NT5E	4
898	AMHR2	4
899	KCNH3	4
900	NMBR	4
901	RGS8	4
902	CD302	5
903	LRRC8A	4
904	SIT1	4
905	TRHDE	4
906	ABCC9	4
907	CLCN3	4
908	SCARB1	4
909	TRPV4	5
910	CDH1	6
911	NEO1	6
912	CDHR2	4
913	TSPAN13	4
914	CDH19	4
915	IL12RB2	4
916	GRIK5	6
917	KCNQ4	5
918	ABCA7	5
919	PLPPR5	4
920	EHD2	4
921	NOX4	5
922	APLP2	4
923	CDON	4
924	CD81	6
925	EPCAM	6
926	LTK	4
927	LRP2	4
928	KDR	4
929	TNFRSF8	4
930	SLC9A1	6
931	NECTIN1	5
932	UPK1B	4
933	PLPP1	5
934	SLC2A9	5
935	SLC12A7	4
936	BST1	4
937	NPR3	4
938	SLC1A3	4
939	CD27	4
940	AMIGO2	4
941	SLC6A15	4
942	TSPAN3	4
943	CDH2	5
944	SLC39A6	4
945	KCNH1	4
946	CNIH3	4
947	ABCG8	4
948	ACKR3	4
949	EPHA5	4
950	SLC2A12	4
951	NLGN4X	5
952	CDK16	4
953	SIGMAR1	4
954	SLC43A1	4
955	PAK1	4
956	SLC13A3	4
957	SLC22A9	4
958	ANK3	4
959	SLC2A13	4
960	PTPRR	4
961	PLA2R1	4
962	SCN2A	5
963	KCNJ16	4
964	JPH3	4
965	STOM	6
966	KCNS2	4
967	KIT	5
968	CD1A	5
969	SLC39A14	6
970	NPTN	4
971	PEAR1	4
972	SHANK1	4
973	SSTR5	4
974	ADCY9	4
975	LRP5	4
976	KCNIP3	4
977	MERTK	5
978	CXCR1	4
979	SLC4A7	6
980	SLMAP	4
981	ITGB5	4
982	IL17RD	4
983	HHIP	5
984	TNFRSF21	4
985	KCNV1	5
986	GPER1	4
987	RAPSN	4
988	GABRB3	5
989	APBB1	4
990	CRK	4
991	RAB8A	4
992	PIEZO1	4
993	PSCA	4
994	SLC39A4	4
995	LMAN2	4
996	SCN1A	4
997	KCNG3	5
998	SLC26A5	4
999	IRS1	4
1000	BFSP2	4
1001	STX8	5
1002	NLGN2	6
1003	S1PR1	6
1004	SIRPG	4
1005	KCNS3	4
1006	SLCO1A2	4
1007	SLAMF1	4
1008	LRRC8E	4
1009	VASN	4
1010	BMX	4
1011	SLC19A1	5
1012	TLR10	4
1013	SLCO4C1	5
1014	MRGPRF	5
1015	CD34	6
1016	TNFRSF10D	4
1017	NAGPA	5
1018	CD200R1	4
1019	ADCY6	4
1020	RTP1	4
1021	PCDHGC3	5
1022	KCNG4	5
1023	CSPG4	6
1024	ADGRB1	4
1025	BVES	4
1026	SIDT2	4
1027	ANO2	4
1028	IL1RAP	4
1029	GPM6B	5
1030	MET	5
1031	PROM2	6
1032	KIAA0319L	4
1033	VSIG2	4
1034	KCND3	5
1035	TMEM150B	4
1036	CALR	4
1037	IL17RA	4
1038	DCBLD2	5
1039	SCN4B	4
1040	PLXNA4	4
1041	TMEM108	4
1042	YES1	4
1043	SEMA6D	4
1044	ITGA11	4
1045	GPR39	4
1046	GPR132	4
1047	SCN5A	4
1048	PLPP2	4
1049	GRID1	4
1050	PTPRM	6
1051	FES	4
1052	ATP6V0A2	4
1053	LRRC8B	4
1054	UNC5A	6
1055	ANO9	4
1056	SLC8A1	4
1057	KCND2	4
1058	BSG	4
1059	CIB1	4
1060	ABCC5	5
1061	EXOC7	4
1062	EPHA3	5
1063	RTN4	4
1064	IL21R	4
1065	SKAP1	4
1066	GGT7	4
1067	CDH26	4
1068	ADIPOR1	4
1069	ERBB4	4
1070	NLGN4Y	4
1071	P2RX2	4
1072	VAPA	4
1073	SCNN1B	4
1074	SLC26A3	4
1075	SLC38A6	5
1076	SCARA5	4
1077	ASGR2	4
1078	OCLN	4
1079	BOC	4
1080	RET	6
1081	FAS	5
1082	STOML2	4
1083	SLC39A8	4
1084	ADAM15	4
1085	KLRG1	4
1086	ANK2	4
1087	SLC29A2	5
1088	PIGN	4
1089	S1PR3	5
1090	SUSD2	4
1091	CDHR5	4
1092	EPHA2	5
1093	QSOX2	4
1094	NLGN3	4
1095	FZD6	4
1096	LPAR1	5
1097	TGFBR2	5
1098	MYOF	6
1099	EMP2	4
1100	SLC39A10	4
1101	MYLK	4
1102	NRP2	5
1103	ENPP1	4
1104	FZD5	4
1105	SLC26A1	4
1106	CNTNAP2	4
1107	PCDH15	5
1108	PCDH18	4
1109	GRIN3A	4
1110	FCRL2	4
1111	SLC22A1	4
1112	PLXNA2	4
1113	LGR6	5
1114	ULBP3	4
1115	ULBP2	4
1116	MR1	5
1117	ADGRG6	4
1118	NECTIN4	4
1119	CD244	4
1120	CADM3	4
1121	CD1B	4
1122	CD1C	6
1123	MFSD4B	4
1124	SLC16A10	4
1125	SEMA6C	4
1126	SLC22A16	5
1127	EPHA7	4
1128	ITGA10	4
1129	VTCN1	5
1130	TSPAN2	4
1131	SLC16A1	4
1132	PLXNA3	5
1133	FLNA	5
1134	AMIGO1	4
1135	KIAA1324	4
1136	LRRC8C	5
1137	CLCA2	7
1138	LPAR3	5
1139	TM2D1	4
1140	BSND	4
1141	FFAR4	4
1142	LRRC26	4
1143	SLC29A1	5
1144	KCNB1	4
1145	TSPAN1	4
1146	OPN4	4
1147	NRG3	4
1148	TSPAN14	4
1149	GLRA4	4
1150	MFSD2A	5
1151	ADA	4
1152	TSPAN6	4
1153	PCDH19	4
1154	KCNK17	4
1155	CRB2	4
1156	FGR	4
1157	ITPR3	4
1158	BMPR2	6
1159	EPHB2	6
1160	ABCA1	4
1161	ECE1	4
1162	HLA-DRB5	4
1163	NEU1	4
1164	HCK	4
1165	SYNDIG1	4
1166	ABCC4	4
1167	CNNM4	4
1168	SNX5	4
1169	SLC3A2	5
1170	PCDH17	5
1171	RECK	4
1172	AJAP1	4
1173	PODXL	6
1174	ADGRG2	6
1175	STEAP4	4
1176	SMAGP	4
1177	P2RY8	4
1178	TEC	5
1179	CRLF2	4
1180	CTNS	4
1181	GPNMB	6
1182	SGCZ	4
1183	KCNV2	5
1184	GOLM1	5
1185	LAIR1	5
1186	SNX9	5
1187	GRK5	4
1188	STEAP3	4
1189	PLXNA1	4
1190	PCDHGA2	4
1191	SLC26A6	5
1192	ITGA4	5
1193	NOXO1	4
1194	GGT5	4
1195	CAMK2A	4
1196	PCDHGA11	4
1197	PCDHGB7	5
1198	PCDHGA8	5
1199	COLEC12	4
1200	SLITRK6	5
1201	DSCAM	5
1202	CADM2	4
1203	ICOSLG	4
1204	LPAR2	4
1205	NRXN1	4
1206	MARK2	4
1207	SCN9A	5
1208	AAK1	4
1209	SLC12A5	4
1210	SLC14A1	4
1211	SLC4A4	4
1212	GFRA1	4
1213	KCNK2	4
1214	CADM1	4
1215	JAM3	4
1216	ITK	4
1217	PVR	4
1218	MDGA1	5
1219	TENM1	5
1220	SLC4A2	4
1221	FAT1	4
1222	HLA-DPB1	4
1223	LAMP2	5
1224	CDH13	4
1225	FGFR2	5
1226	P2RX6	4
1227	SLC2A1	6
1228	STIM2	4
1229	NECTIN3	4
1230	JAM2	6
1231	PCDHGB4	4
1232	LYN	5
1233	PCDHGB1	4
1234	TENM2	4
1235	PCDHGA7	4
1236	KCNB2	4
1237	PCDHA6	4
1238	FZD4	5
1239	PCDHA4	4
1240	PCDH7	6
1241	PLXNB3	5
1242	KCNC2	5
1243	RASAL1	4
1244	ITGA7	4
1245	SLC12A6	5
1246	PCDHGA4	4
1247	PCDHGA9	4
1248	TRPV3	4
1249	CDH8	4
1250	TNFRSF11A	4
1251	S1PR2	4
1252	HLA-DQA1	4
1253	CLCN6	4
1254	TRPC4	4
1255	LMTK2	4
